kategori,nama,harga
Makanan,Paket Nasi Daun Jeruk + Ayam Kampung Serundeng,39000
Makanan,Paket Nasi Kecombrang + Ayam Kampung Serundeng,39000
Makanan,Ayam Kampung Goreng,27200
Makanan,Sate Taichan Ayam,27200
Makanan,Paket Ayam Goreng (Nasi + Ayam Serundeng + Tahu + Tempe),47200
Makanan,Soto Bogor / Soto Bening (Daging / Paru),39200
Makanan,Mie Teman Akrab Kuah,33600
Makanan,Mie Teman Akrab Goreng,37200
Makanan,Bakwan Malang & Bakso Kuah,35400
Makanan,Bakso Sapi Kuah,37200
Makanan,Pempek Palembang (Isi 3),35400
Makanan,Spaghetti Beef Bolognese,35400
Nasi Goreng,Nasgor CIFOS Udang,37200
Nasi Goreng,Nasgor CIFOS Beef,37200
Nasi Goreng,Nasi Goreng Ayam,35400
Nasi Goreng,Nasi Goreng Kampung,35400
Nasi Goreng,Nasi Goreng Smoked Beef,41900
Nasi Goreng,Nasi Goreng Vege (Telur),31800
Nasi Goreng,Nasi Bakar Ayam / Cumi / Teri,32700
Nasi Goreng,Nasi Bakar Tutug Oncom,32700
Dimsum,Dimsum Ayam / Jamur / Beef,19000
Dimsum,Dimsum Nori / Udang / Tuna,21800
Dimsum,Lumpia Kulit Tahu,21800
Dimsum,Crispy Udang,31800
Dimsum,Bola Naga,31800
Roti Bakar,Roti Kadet Pandan Original,21800
Roti Bakar,Roti Kadet Pandan Keju,33600
Roti Bakar,Pisang Bakar / Goreng Coklat Keju,27200
Jajanan,Donat Salju (Isi 2),29000
Jajanan,Donat Coklat / Keju (Isi 2),34400
Jajanan,Mini Pao Isi Coklat (Isi 3),16800
Jajanan,Roti Goreng Coklat Keju,21800
Jajanan,French Fries,31800
Jajanan,Potato Wedges,37200
Jajanan,Chicken Wings,37200
Jajanan,Otak-Otak Singapore,27200
Jajanan,Lumpia Leleh Coklat (Isi 3),29000
Jajanan,Pastel Telur Sayuran,13600
Jajanan,Risol Smoked Beef (Isi 2),29000
Jajanan,Cireng Rujak,27200
Jajanan,Singkong Goreng,33600
Jajanan,Singkong Goreng Keju,35500
Coffee,Espresso Single,18181
Coffee,Espresso Double,20000
Coffee,Affogato (+Ice Cream),29191
Coffee,Americano (Hot/Ice),21818
Coffee,Long Black (Hot/Ice),21818
Coffee,Mochacino (Coffee + Choco),43696
Coffee,Cappuccino (Hot/Ice),37272
Coffee,Latte (Hot/Ice),37272
Speciality,CIFOS Magic Coffee,31800
Coffee,Manual Brewing Chemex/French Press,33636
Coffee,Manual Brewing Vietnam drip/Japanese,37272
Coffee,Manual Brewing Aero press,37272
Non Coffee,Dark Chocolate,25400
Non Coffee,Sweet As U (Regal & Milk),25400
Non Coffee,Vanilla,25400
Non Coffee,Chocolate Milk,25400
Non Coffee,Red Velvet,25400
Non Coffee,Taro,25400
Non Coffee,Cookies and Cream,25400
Non Coffee,Tiramisu,25400
Non Coffee,Sakura Matcha / Green Tea,33600
Non Coffee,Wedang Uwuh,27200
Tea,Lemon Tea,25400
Tea,Lychee Tea,25400
Tea,Thai Tea,27200
Tea,Regular Ice Tea,10900
Tea,Sweet Ice Tea,11800
Tea,Premium Hot Tea (Chamomile / Earl Grey / Jasmine / Mint),21800
Ice Cream,3 Scoops of Ice Cream (Vanilla/Chocolate/Strawberry),29100
Soda,Soda Based Mojito (Lemon/Lychee/Coconut),33600
Soda,Mojito Yakult,35400
Speciality,Hotplate Chicken BBQ Mushroom / Blackpepper,36000
Speciality,Hotplate Beef BBQ Mushroom / Blackpepper,39000
Speciality,Hotplate Chicken & Beef,41000
